pid,product_name,old_price,c_price,base_price,company_id,company_name
133,"Samarthya Double Hockey Brush NV",144,48,51,7,"Samarthya Cleaning "
134,"Samarthya Singel Hockey Toilet Brush NV",111,37,40,7,"Samarthya Cleaning "
135,"Samarthya Oval Cloth Brush NV",84,28,31,7,"Samarthya Cleaning "
136,"Samarthya Squre Cloth Brush NV",78,26,29,7,"Samarthya Cleaning "
137,"Samarthya Double Hockey Dura Clean Brush  NV",120,40,43,7,"Samarthya Cleaning "
138,"Samarthya Double Hockey Daimond Toilet Brush",144,48,51,7,"Samarthya Cleaning "
139,"Samarthya Double Hockey Max Clean Brush NV",87,29,32,7,"Samarthya Cleaning "
140,"Samarthya Double Hockey Max Clean Brush NV",87,29,32,7,"Samarthya Cleaning "
141,"Samarthya Big Oval Cloth Brush",90,30,33,7,"Samarthya Cleaning "
142,"Samarthya Cloth Brush 8 Type",21,7,10,7,"Samarthya Cleaning "
143,"Samarthya Nano 6"" Hardy Tiles Cleaning Brush With Pipe",210,70,73,7,"Samarthya Cleaning "
144,"Samarthya Rhino 12"" Hardy Floor Cleaning With Ss Pipe",480,160,163,7,"Samarthya Cleaning "
145,"Samarthya Virgin Kharata 60 Sticks",156,52,55,7,"Samarthya Cleaning "
146,"Samarthya Wonder Kharata Clean Plush",162,54,57,7,"Samarthya Cleaning "
147,"Samarthya Bathroom Wiper Silicon 13"" Ss Pipe",204,68,71,7,"Samarthya Cleaning "
148,"Samarthya Unique Kitchen Wiper",75,25,28,7,"Samarthya Cleaning "
149,"Samarthya Kitchen Wiper Classic",75,25,28,7,"Samarthya Cleaning "
150,"Samarthya Kitchen Wiper A-1",63,21,24,7,"Samarthya Cleaning "
151,"Samarthya Toilet Plunger Small",111,37,40,7,"Samarthya Cleaning "
152,"Samarthya Toilet Plunger Big",126,42,45,7,"Samarthya Cleaning "
153,"Samarthya Laxmi Grass Broom",273,91,95,7,"Samarthya Cleaning "
154,"Samarthya Uddan Soft And Flexible Broom",315,105,110,7,"Samarthya Cleaning "
155,"Samarthya Soft And Flexible Broom",279,93,96,7,"Samarthya Cleaning "
156,"Samarthya Bright Kharata Next Virgin",117,39,42,7,"Samarthya Cleaning "
157,"Samarthya Large Kharata Clean Plus 60 Sticks",174,58,61,7,"Samarthya Cleaning "
158,"Samarthya Floor Wiper Silicon Blade 16"" (With Ss Stick 4Feet)",375,125,128,7,"Samarthya Cleaning "
159,"Samarthya Daimond 20"" Wiper With Ss Stick",495,165,168,7,"Samarthya Cleaning "
160,"Samarthya Smart Wiper 16"" With 22 Mm (Ms Pipe)",330,110,113,7,"Samarthya Cleaning "
161,"Samarthya Floor Smart Wiper With Ms Pipe 22 Mm 20""",282,94,97,7,"Samarthya Cleaning "
162,"Samarthya Floor Wiper Heavy Duty Commercial Use 16""",660,220,223,7,"Samarthya Cleaning "
163,"Samarthya Floor Wiper Heavy Duty Commercial Use 20""",705,235,238,7,"Samarthya Cleaning "
164,"Samarthya Floor Wiper Heavy Duty Commercial Use 24""",765,255,258,7,"Samarthya Cleaning "
165,"Samarthya Kitchen Wiper Eva Blade",45,15,18,7,"Samarthya Cleaning "
166,"Samarthya Floor Wiper Virgin Eva Blade 16""",96,32,35,7,"Samarthya Cleaning "
167,"Samarthya Floor Wiper Virgin Jambo 21""",159,53,56,7,"Samarthya Cleaning "
168,"Samarthya Window Glass Wiper Ss Pipe",480,160,163,7,"Samarthya Cleaning "
169,"Samarthya Botel Mop Regular Virgin Without Stick",129,43,46,7,"Samarthya Cleaning "
170,"Samarthya Premium Toilet Cleaner 1Ltr",141,47,50,7,"Samarthya Cleaning "
171,"Samarthya Bucketmop Pipe Set Regular",480,160,163,7,"Samarthya Cleaning "
172,"Samarthya Bucket Pipe Set A1",525,175,178,7,"Samarthya Cleaning "
173,"Samarthya Premium Microfiber Cloth 1820 Inch",132,44,47,7,"Samarthya Cleaning "
174,"Samarthya Victor Twist Mop With Ss Stick",525,175,178,7,"Samarthya Cleaning "
175,"Samarthya Twist Mop Regular With Ms Stick",333,111,114,7,"Samarthya Cleaning "
